Model Yr,Mfr Name,Division,Carline,Verify Mfr Cd,Index (Model Type Index),Eng Displ,# Cyl,Trans in FE Guide (MFR entered for data entered after May 13 2011),City FE (Guide) - Conventional Fuel,Hwy FE (Guide) - Conventional Fuel,Comb FE (Guide) - Conventional Fuel,City Unadj FE - Conventional Fuel,Hwy Unadj FE - Conventional Fuel,Comb Unadj FE - Conventional Fuel,City Unrd Adj FE - Conventional Fuel,Hwy Unrd Adj FE - Conventional Fuel,Comb Unrd Adj FE - Conventional Fuel,Guzzler? ,Air Aspir Method,Air Aspiration Method Desc,Trans,Trans Desc,"Trans, Other",# Gears,Trans Lockup,Trans Creeper Gear,Drive Sys,Drive Desc,Max Ethanol % - Gasoline,Max Biodiesel %,Range1 - Model Type Driving Range - Conventional Fuel,Fuel Usage  - Conventional Fuel,Fuel Usage Desc - Conventional Fuel,Fuel Unit - Conventional Fuel,Fuel Unit Desc - Conventional Fuel,Gas Guzzler Exempt (Where Truck = 1975 NHTSA truck definition),Gas Guzzler Exempt Desc (Where Truck = 1975 NHTSA truck definition),2Dr Pass Vol,2Dr Lugg Vol,4Dr Pass Vol,4Dr Lugg Vol,Htchbk Pass Vol,Htchbk Lugg Vol,Annual Fuel1 Cost - Conventional Fuel,EPA Calculated Annual Fuel Cost - Conventional Fuel -----  Annual fuel cost error. Please revise Verify. ,City2 FE (Guide) - Alternative Fuel,Hwy2 Fuel FE (Guide) - Alternative Fuel,Comb2 Fuel FE (Guide) - Alternative Fuel,City2 Unadj FE - Alternative Fuel,Hwy2 Unadj FE - Alternative Fuel,Comb2 Unadj FE - Alternative Fuel,City2 Unrd Adj FE - Alternative Fuel,Hwy2 Unrd Adj FE - Alternative Fuel,Cmb2 Unrd Adj FE - Alternative Fuel, Range2 - Alt Fuel Model Typ Driving Range - Alternative Fuel, Fuel2 Usage - Alternative Fuel, Fuel2 Usage Desc - Alternative Fuel,Fuel2 Unit - Alternative Fuel,Fuel2 Unit Desc - Alternative Fuel,Fuel2 Annual Fuel Cost - Alternative Fuel,Fuel2 EPA Calculated Annual Fuel Cost - Alternative Fuel,Descriptor - Model Type (40 Char or less),Intake Valves Per Cyl,Exhaust Valves Per Cyl,Carline Class,Carline Class Desc,Car/Truck Category - Cash for Clunkers Bill.,Calc Approach Desc,Release Date,EPA FE Label Dataset ID,,Unique Label?,Label Recalc?,Relabel,Relabel Desc,Suppressed?,Police/Emerg?,Comments - Mfr Eng Cnfg,Cyl Deact?,Cyl Deact Desc,Var Valve Timing?,Var Valve Timing Desc,Var Valve Lift?,Var Valve Lift Desc,Energy Storage Device Desc,"Energy Storage Device,If Other",# Batteries,Battery Type Desc,"Battery Type, If Other",Total Voltage for Battery Pack(s),Batt Energy Capacity (Amp-hrs),Batt Specific Energy (Watt-hr/kg),Batt Charger Type Desc,Comments,# Capacitors,Regen Braking Type Desc,"Regen Braking Type, If Other","Regen Braking Wheels Source (Front, Rear, Both)",Driver Cntrl Regen Braking?,Fuel Cell Desc,Usable H2 Fill Capacity (kg),Fuel Cell Onboard H2 Capacity (kg),HEV-EV Comments,# Drive Motor Gen,Motor Gen Type Desc,"Motor Gen Type, If Other",Rated Motor Gen Power (kW),Fuel Metering Type 1 Desc,Fuel Metering Type 2 Desc,Fuel Metering Sys Cd,Fuel Metering Sys Desc,Fuel Cell Vehicle (Y or N),Off Board Charge Capable (Y or N),Camless Valvetrain (Y or N),Oil Viscosity,Eng Mgmt System (Stop/Start Sys) Code,Eng Mgmt System (Stop/Start Sys) Description,Model Type Desc (MFR entered),Charge Depleting Calc Appr Code,Charge Depleting Calc Appr Desc,Charge Sustaining Calc Appr Code,Charge Sustaining Calc Appr Desc,EPA Calculated Annual Fuel Cost,EPA Calculated Gas Guzzler MPG,MFR Calculated Gas Guzzler MPG ,EPA Calculated Gas Guzzler Indicator (Y or N),
2013,Porsche,Porsche,911 Carrera,PRX,101,3.4,6,Manual(M7),19,27,22,23.7,38.2,28.5822,18.8433,27.302,21.8961,,NA,Naturally Aspirated,M,Manual,,7,N,N,R,"2-Wheel Drive, Rear",10,,,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,N,Not exempt,70,5,,,,,2600,2600,,,,,,,,,,,,,,,,,SIDI; ,2,2,2,Minicompact Cars,car,Derived 5-cycle label,5/1/2012,9363,,Y,N,,,N,N,,N,,Y,Porsche VVT,Y,Porsche VVT,,,,,,,,,,,,,,,,,,,,,,,,,,GDI,Spark Ignition Direct Injection,,,N,0W40,L,"Yes, but with lock-out features",911 Carrera M7,,,,,,,28.8,,
2013,Porsche,Porsche,911 Carrera 4,PRX,110,3.4,6,Auto(S7),20,28,23,25.2,38.8,29.9192,19.9584,27.7145,22.834,,NA,Naturally Aspirated,SA,Semi-Automatic,,7,N,N,4,4-Wheel Drive,10,,,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,N,Not exempt,70,5,,,,,2500,2500,,,,,,,,,,,,,,,,,SIDI; ,2,2,2,Minicompact Cars,car,Derived 5-cycle label,5/1/2012,9378,,Y,N,,,N,N,,N,,Y,Porsche VVT,Y,Porsche VVT,,,,,,,,,,,,,,,,,,,,,,,,,,GDI,Spark Ignition Direct Injection,,,N,0W40,L,"Yes, but with lock-out features",911 Carrera 4 A7,,,,,,,30.1,,
2013,Porsche,Porsche,911 Carrera 4,PRX,109,3.4,6,Manual(M7),19,27,22,23.9,38.2,28.7417,18.9925,27.302,22.0065,,NA,Naturally Aspirated,M,Manual,,7,N,N,4,4-Wheel Drive,10,,,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,N,Not exempt,70,5,,,,,2600,2600,,,,,,,,,,,,,,,,,SIDI; ,2,2,2,Minicompact Cars,car,Derived 5-cycle label,5/1/2012,9462,,Y,N,,,N,N,,N,,Y,Porsche VVT,Y,Porsche VVT,,,,,,,,,,,,,,,,,,,,,,,,,,GDI,Spark Ignition Direct Injection,,,N,0W40,L,"Yes, but with lock-out features",911 Carrera 4 M7,,,,,,,28.9,,
2013,Porsche,Porsche,911 Carrera 4 Cabriolet,PRX,112,3.4,6,Auto(S7),20,27,22,24.7,37.7,29.2367,19.5877,26.9579,22.3356,,NA,Naturally Aspirated,SA,Semi-Automatic,,7,N,N,4,4-Wheel Drive,10,,,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,N,Not exempt,68,5,,,,,2600,2600,,,,,,,,,,,,,,,,,SIDI; ,2,2,2,Minicompact Cars,car,Derived 5-cycle label,5/1/2012,9379,,Y,N,,,N,N,,N,,Y,Porsche VVT,Y,Porsche VVT,,,,,,,,,,,,,,,,,,,,,,,,,,GDI,Spark Ignition Direct Injection,,,N,0W40,L,"Yes, but with lock-out features",911 Carrera 4 Cabriolet A7,,,,,,,29.4,,
2013,Porsche,Porsche,911 Carrera 4 Cabriolet,PRX,111,3.4,6,Manual(M7),19,26,21,23.4,36.7,27.9596,18.6193,26.2687,21.4271,,NA,Naturally Aspirated,M,Manual,,7,N,N,4,4-Wheel Drive,10,,,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,N,Not exempt,68,5,,,,,2700,2700,,,,,,,,,,,,,,,,,SIDI; ,2,2,2,Minicompact Cars,car,Derived 5-cycle label,5/1/2012,9377,,Y,N,,,N,N,,N,,Y,Porsche VVT,Y,Porsche VVT,,,,,,,,,,,,,,,,,,,,,,,,,,GDI,Spark Ignition Direct Injection,,,N,0W40,L,"Yes, but with lock-out features",911 Carrera 4 Cabriolet M7,,,,,,,28.2,,
2013,Porsche,Porsche,911 Carrera 4S,PRX,114,3.8,6,Auto(S7),19,26,22,24.2,36.7,28.5805,19.216,26.2687,21.8567,,NA,Naturally Aspirated,SA,Semi-Automatic,,7,N,N,4,4-Wheel Drive,10,,,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,N,Not exempt,70,5,,,,,2600,2600,,,,,,,,,,,,,,,,,SIDI; ,2,2,2,Minicompact Cars,car,Derived 5-cycle label,5/1/2012,9381,,Y,N,,,N,N,,N,,Y,Porsche VVT,Y,Porsche VVT,,,,,,,,,,,,,,,,,,,,,,,,,,GDI,Spark Ignition Direct Injection,,,N,0W40,L,"Yes, but with lock-out features",911 Carrera 4S A7,,,,,,,28.8,,
2013,Porsche,Porsche,911 Carrera 4S,PRX,113,3.8,6,Manual(M7),18,26,21,23.1,36.9,27.7742,18.3949,26.4067,21.3035,,NA,Naturally Aspirated,M,Manual,,7,N,N,4,4-Wheel Drive,10,,,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,N,Not exempt,70,5,,,,,2700,2700,,,,,,,,,,,,,,,,,SIDI; ,2,2,2,Minicompact Cars,car,Derived 5-cycle label,5/1/2012,9380,,Y,N,,,N,N,,N,,Y,Porsche VVT,Y,Porsche VVT,,,,,,,,,,,,,,,,,,,,,,,,,,GDI,Spark Ignition Direct Injection,,,N,0W40,L,"Yes, but with lock-out features",911 Carrera 4S M7,,,,,,,28,,
2013,Porsche,Porsche,911 Carrera 4S Cabriolet,PRX,116,3.8,6,Auto(S7),19,26,21,23.3,36.5,27.8289,18.5445,26.1307,21.3313,,NA,Naturally Aspirated,SA,Semi-Automatic,,7,N,N,4,4-Wheel Drive,10,,,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,N,Not exempt,68,5,,,,,2700,2700,,,,,,,,,,,,,,,,,SIDI; ,2,2,2,Minicompact Cars,car,Derived 5-cycle label,5/1/2012,9797,,Y,N,,,N,N,,N,,Y,Porsche VVT,Y,Porsche VVT,,,,,,,,,,,,,,,,,,,,,,,,,,GDI,Spark Ignition Direct Injection,,,N,0W40,L,"Yes, but with lock-out features",911 Carrera 4S Cabriolet A7,,,,,,,28,,
2013,Porsche,Porsche,911 Carrera 4S Cabriolet,PRX,115,3.8,6,Manual(M7),18,26,21,22.9,36.1,27.4101,18.2451,25.8545,21.0304,,NA,Naturally Aspirated,M,Manual,,7,N,N,4,4-Wheel Drive,10,,,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,N,Not exempt,68,5,,,,,2700,2700,,,,,,,,,,,,,,,,,SIDI; ,2,2,2,Minicompact Cars,car,Derived 5-cycle label,5/1/2012,9796,,Y,N,,,N,N,,N,,Y,Porsche VVT,Y,Porsche VVT,,,,,,,,,,,,,,,,,,,,,,,,,,GDI,Spark Ignition Direct Injection,,,N,0W40,L,"Yes, but with lock-out features",911 Carrera 4S Cabriolet M7,,,,,,,27.6,,
2013,Porsche,Porsche,911 Carrera Cabriolet,PRX,104,3.4,6,Auto(S7),20,28,23,25.5,39.5,30.3389,20.1804,28.1951,23.1404,,NA,Naturally Aspirated,SA,Semi-Automatic,,7,N,N,R,"2-Wheel Drive, Rear",10,,,GP,Gasoline (Premium Unleaded Recommended),MPG,miles per gallon,N,Not exempt,68,5,,,,,2500,2500,,,,,,,,,,,,,,,,,SIDI; ,2,2,2,Minicompact Cars,car,Derived 5-cycle label,5/1/2012,9369,,Y,N,,,N,N,,N,,Y,Porsche VVT,Y,Porsche VVT,,,,,,,,,,,,,,,,,,,,,,,,,,GDI,Spark Ignition Direct Injection,,,N,0W40,L,"Yes, but with lock-out features",911 Carrera Cabriolet A7,,,,,,,30.6,,
